match,RF,GPM,GPM2,Poisson,Actual
FC Bayern vs Hertha BSC,"[0.5, 0.5, 0.0]","[1, 0, 0]","[0.982, 0, 0.018]","[0.806, 0.072, 0.122]","[0, 0, 1]"
Borussia Dortmund vs FC Augsburg,"[0.5, 0.5, 0.0]","[0.909, 0, 0.091]","[0.813, 0, 0.187]","[0.812, 0.08, 0.108]","[1, 0, 0]"
Werder Bremen vs Fortuna Düsseldorf,"[0.5, 0.5, 0.0]","[0.242, 0, 0.758]","[0.279, 0, 0.721]","[0.634, 0.176, 0.19]","[0, 1, 0]"
SC Freiburg vs 1. FSV Mainz 05,"[0.0, 1.0, 0.0]","[0, 0.0, 1.0]","[0.086, 0, 0.914]","[0.454, 0.308, 0.238]","[1, 0, 0]"
Borussia Mönchengladbach vs FC Schalke 04,"[1.0, 0.0, 0.0]","[0.606, 0, 0.394]","[0.57, 0, 0.43]","[0.642, 0.138, 0.221]","[0, 0, 1]"
Eintracht Frankfurt vs TSG 1899 Hoffenheim,"[1.0, 0.0, 0.0]","[0, 0.273, 0.727]","[0, 0.133, 0.867]","[0.474, 0.311, 0.215]","[1, 0, 0]"
TSG 1899 Hoffenheim vs Werder Bremen,"[0.0, 0.5, 0.5]","[0.394, 0, 0.606]","[0.401, 0, 0.599]","[0.536, 0.255, 0.209]","[1, 0, 0]"
Fortuna Düsseldorf vs Bayer Leverkusen,"[0.0, 1.0, 0.0]","[0, 0.545, 0.455]","[0, 0.351, 0.649]","[0.301, 0.491, 0.208]","[0, 1, 0]"
1. FSV Mainz 05 vs Borussia Mönchengladbach,"[0.0, 1.0, 0.0]","[0, 0.273, 0.727]","[0, 0.133, 0.867]","[0.306, 0.439, 0.255]","[0, 1, 0]"
FC Schalke 04 vs FC Bayern,"[0.0, 1.0, 0.0]","[0, 1, 0]","[0, 1, 0]","[0.115, 0.701, 0.184]","[0, 1, 0]"
RB Leipzig vs Eintracht Frankfurt,"[0.0, 0.0, 1.0]","[0, 0.0, 1.0]","[0.086, 0, 0.914]","[0.6, 0.168, 0.232]","[1, 0, 0]"
Hertha BSC vs VfL Wolfsburg,"[0.0, 0.5, 0.5]","[0, 0.333, 0.667]","[0, 0.181, 0.819]","[0.363, 0.4, 0.237]","[0, 1, 0]"
Borussia Mönchengladbach vs RB Leipzig,"[0.0, 1.0, 0.0]","[0, 0.182, 0.818]","[0, 0.06, 0.94]","[0.288, 0.418, 0.293]","[0, 1, 0]"
FC Bayern vs 1. FSV Mainz 05,"[1.0, 0.0, 0.0]","[1, 0, 0]","[1, 0, 0]","[0.828, 0.061, 0.111]","[1, 0, 0]"
Bayer Leverkusen vs TSG 1899 Hoffenheim,"[0.0, 1.0, 0.0]","[0, 0.091, 0.909]","[0.013, 0, 0.987]","[0.486, 0.313, 0.201]","[0, 0, 1]"
FC Schalke 04 vs Hertha BSC,"[0.0, 0.5, 0.5]","[0, 0.424, 0.576]","[0, 0.254, 0.746]","[0.354, 0.374, 0.271]","[1, 0, 0]"
Werder Bremen vs FC Augsburg,"[1.0, 0.0, 0.0]","[0.212, 0, 0.788]","[0.255, 0, 0.745]","[0.653, 0.167, 0.181]","[1, 0, 0]"
Eintracht Frankfurt vs Fortuna Düsseldorf,"[1.0, 0.0, 0.0]","[0.364, 0, 0.636]","[0.376, 0, 0.624]","[0.671, 0.154, 0.175]","[1, 0, 0]"
